#;LLR;kumul.;Häufig;links;rechts;Kookkurrenzen;syntagmatische Muster;

;1;73890;5207;5207;-1;-1;Henry; 99% Henry [...] Maske

;2;38081;18835;13628;-1;-1;eine; 85% eine [...] Maske

;3;23346;22458;3623;-3;-2;hinter; 92% hinter [der|einer] Maske

;4;20073;24776;2318;-5;5;Gesicht; 74% die Maske [vom] Gesicht

;5;12076;25578;802;-1;-1;eisernen; 99% in|mit der eisernen [...] Maske

;6;11702;29711;4133;-2;-1;einer; 82% mit einer [...] Maske

;7;10491;29712;1;2;2;Blau Operette Raymonds Fred Potpourri ;100% Potpourri ... Fred Raymonds Operette Maske ... Blau

;;;29714;2;2;2;Blau Operette Raymonds Fred Melodien ;100% Melodien aus Fred Raymonds Operette Maske in Blau

;;;29724;10;2;2;Blau Operette Raymonds Fred ;100% aus Fred Raymonds [...] Operette Maske in Blau

;;;29727;3;2;2;Blau Operette Raymond Fred Potpourri ;100% Potpourri aus der Operette Maske in Blau von FredRaymond

;;;29734;7;2;2;Blau Operette Raymond Fred Melodien ;100% Melodien aus der Operette Maske in Blau von FredRaymond

;;;29763;29;2;2;Blau Operette Raymond Fred ; 82% der|die|zur Operette [...] Maske in Blau von Fred Raymond

;;;29766;3;2;2;Blau Operette Raymond ;100% Maske in Blau Operette v Raymond

;;;29768;2;2;2;Blau Operette Fred ; 50% Maske ... Blau Operette ... Fred

;;;29787;19;2;2;Blau Operette Potpourri ;100% einem Potpourri aus der Operette Maske in Blau

;;;29800;13;2;2;Blau Operette Melodien ;100% Melodien aus der Operette [...] Maske in Blau

;;;29942;142;2;2;Blau Operette ; 90% aus der Operette [...] Maske in Blau

;;;29968;26;2;2;Blau Raymonds Fred ;100% Ausschnitte aus Fred Raymonds [...] Maske in Blau

;;;29970;2;2;2;Blau Raymonds Potpourri ; 50% Potpourri ... Raymonds ... Maske ... Blau

;;;29978;8;2;2;Blau Raymonds ;100% oder Raymonds [...] Maske in Blau

;;;29980;2;2;2;Blau Raymond Fred Potpourri ;100% Potpourri aus der ... Maske in Blau von Fred Raymond

;;;30026;46;2;2;Blau Raymond Fred ; 86% Maske in Blau [von] Fred Raymond

;;;30027;1;2;2;Blau Raymond Potpourri ;100% Potpourri ... Maske ... Blau ... Raymond

;;;30031;4;2;2;Blau Raymond ; 75% Raymond [... aus ...] Maske in Blau

;;;30033;2;2;2;Blau Fred ;100% Maske in Blau ... Fred

;;;30036;3;2;2;Blau Potpourri Melodien ; 66% Potpourri Maske in Blau Melodien

;;;30052;16;2;2;Blau Potpourri ; 87% mit ein|einem Potpourri [aus der] Maske in Blau die|aus

;;;30074;22;2;2;Blau Melodien ;100% anderem sind Melodien aus der Maske in Blau und viele

;;;30554;480;2;2;Blau ; 99% Maske in Blau

;8;10349;30776;222;-2;-2;Tragen; 91% das Tragen der Maske

;9;9042;30811;35;2;2;Zorro Banderas Antonio ; 80% Schauspieler Antonio Banderas Die Maske des Zorro und

;;;30825;14;2;2;Zorro Banderas ; 78% Der|La Vega Banderas erstmals die|Die mit ... Maske desZorro angelegt und

;;;30875;50;2;2;Zorro sw ;100% Die Maske des Zorro [ab 10] sw

;;;30878;3;2;2;Zorro Antonio ;100% Die Maske des Zorro ... Antonio

;;;31328;450;2;2;Zorro ; 94% Die Maske [des] Zorro

;10;8692;35966;4638;-1;-1;Die; 96% Die [...] Maske

;11;7236;36871;905;-4;-3;Mann; 92% der|Der Mann mit der Maske

;12;5084;37202;331;1;1;getragen; 99% die|keine Maske [...] getragen werden

;13;5031;37798;596;-3;-2;Hinter;100% Hinter [der] Maske des ...

;14;3931;38347;549;-5;4;Kostüme; 65% Kostüme [und] Maske und

;15;3864;38512;165;-1;-1;schwarze; 86% die schwarze [...] Maske

;16;3389;40018;1506;-2;-2;unter; 81% unter [der] Maske

;17;3008;40050;32;-5;5;verbirgt; 84% Unter der|die Maske [...] verbirgt sich

;18;2641;40263;213;-3;-3;Frosch;100% Der Frosch mit der Maske

;19;2533;40439;176;-4;5;Requisite; 51% Maske [und] Requisite und

;20;2329;40500;61;-2;-1;Boxer; 67% Boxer [...] Maske

;21;2253;40590;90;1;3;aufzusetzen; 96% die Maske [...] aufzusetzen

;22;2242;40591;1;-1;-1;Operette;100% Operette Maske

;23;2197;40795;204;-5;5;Bühnenbild; 63% Bühnenbild [und] Maske und

;24;2143;40810;15;-5;5;Rocchigiani Graciano ; 80% zwischen Maske [und] Graciano Rocchigiani

;;;40885;75;-5;5;Rocchigiani ; 70% Maske [-|und|gegen] Rocchigiani

;25;2125;40957;72;3;5;Nase Mund ; 83% die Maske [über] Mund und Nase

;;;41093;136;3;5;Nase ; 69% die Maske ... über|der|die Nase

;26;2053;41096;3;2;3;Todes roten Poes Allan Edgar ;100% Edgar Allan Poes Maske des roten Todes

;;;41100;4;2;3;Todes roten Poes ;100% Poes Maske des roten Todes

;;;41118;18;2;3;Todes roten ;100% die Maske des roten Todes

;;;41120;2;2;3;Todes Roten Poes Allan Edgar ;100% Edgar Allan Poes Maske des Roten Todes

;;;41121;1;2;3;Todes Roten Poes Edgar ;100% Edgar ... Poes Maske ... Roten Todes

;;;41122;1;2;3;Todes Roten Poes ;100% Poes Maske ... Roten Todes

;;;41123;1;2;3;Todes Roten Allan Poe ;100% Allan Poe ... Maske ... Roten Todes

;;;41125;2;2;3;Todes Roten Edgar ;100% Maske des Roten Todes erzählt Edgar

;;;41134;9;2;3;Todes Roten ;100% die|der Maske des Roten Todes

;;;41135;1;2;3;Todes Poes Edgar ;100% Edgar ... Poes Maske ... Todes

;;;41179;44;2;3;Todes ; 84% und|in der|die Maske des Todes

;27;2023;41359;180;-5;4;trage; 56% Ich trage [... keine|die] Maske

;28;1941;41365;6;-1;-1;Badener Tournée Theatergruppe ;100% geht die Theatergruppe Badener Maske wieder auf Tournée

;;;41368;3;-1;-1;Badener Tournée ;100% Badener Maske ist auf Tournée

;;;41372;4;-1;-1;Badener Theatergruppe ;100% die Theatergruppe [...] Badener Maske

;;;41503;131;-1;-1;Badener ;100% die|der Badener Maske

;29;1925;41540;37;3;4;reißen; 72% die Maske [von|vom Kopf zu] reißen

;30;1912;41708;168;-5;5;Handschuhe; 61% Maske [und] Handschuhe

;31;1891;41832;124;-1;-1;schwarzen; 75% mit der schwarzen [...] Maske

;32;1741;41942;110;1;5;aufgesetzt; 96% die Maske [...] aufgesetzt

;33;1724;42129;187;-3;5;Frisuren; 71% für Maske [und] Frisuren

;34;1680;42145;16;-3;3;Flossen ABC-Ausrüstung ; 81% Tauchen mit ABC-Ausrüstung [- bestehend aus] Maske[Schnorchel und] Flossen -|Schnorchel wird

;;;42268;123;-3;3;Flossen ; 60% mit|Schnorchel Maske [Schnorchel|und] Flossen und

;35;1671;42291;23;-5;5;Hill Virgil ; 52% Karriere gegen Virgil Hill wird ... Maske im Januar

;;;42439;148;-5;5;Hill ; 61% Maske [und|gegen] Hill

